Posicao NCM,Código Produto,Descrição Produto
0207,10913,Carne de aves
2404,12001,Produtos do fumo
3207,20923,"Tintas, vernizes, esmaltes e lacas"
3824,20922,Produtos químicos diversos 
3824,20921,Defensivos agrícolas e desinfestantes domissanitários
3824,20912,Adubos e fertilizantes
3824,23002,"Artefatos de cimento, gesso e semelhantes"
3827,20922,Produtos químicos diversos 
3906,20914,"Resinas,elastômeros e fibras artif. e sintéticas"
4811,17002,"Papel, papelão, embalagens e artefatos de papel"
5510,13001,Fios e fibras têxteis beneficiadas
7315,28003,Outras máquinas e equipamentos mecânicos
7315,25001,"Produtos de metal, excl. máquinas e equipamentos"
8504,27001,"Máquinas, aparelhos e materiais elétricos"
